A00041	A00056	New Paltz	SUNY New Paltz, New York
A00041	A00057	Oneonta	SUNY Oneonta, New York
A00041	A00058	Oswego	SUNY Oswego, New York
A00041	A00059	Plattsburgh	SUNY Plattsburgh, New York
A00041	A00060	Potsdam	SUNY Potsdam, New York
A00041	A00061	Purchase	SUNY Purchase, New York
A00041	A06127	Poly Utica	SUNY Polytechnic Institute, Utica, New York
A00041	A06128	Poly Albany	SUNY Polytechnic Institute, Albany, New York
	A00062	USDA	U.S. Department of Agriculture
	A00063	Albion Coll	Albion College, Michigan
	A00064	UNM	University of New Mexico
A00064	A05880	CHTM	University of New Mexico, Center for High Technology Materials
A00064	A11172	Dep Phy Ast	University of New Mexico, Department of Physics and Astronomy
A00064	A11173	Dep Ear Plan Sci	University of New Mexico, Department of Earth and Planetary Sciences
	A00065	Sandia Natl Lab	Sandia National Laboratories, New Mexico
A00065	A11214	Livermore	Sandia National Laboratories, Livermore, California
	A00066	Charles Sturt U	Charles Sturt University
	A00067	Alfred U	Alfred University, New York
	A00068	Abilene Christ U	Abilene Christian University, Texas
	A00069	Grand Vall St U	Grand Valley State University, Michigan
	A00070	Muhlenberg Coll	Muhlenberg College, Pennsylvania
	A00071	Cedar Crest Coll	Cedar Crest College, Pennsylvania
	A00072	Alma Coll	Alma College, Michigan
	A00073	Georgia SW St U	Georgia Southwestern State University
	A00074	IA St U	Iowa State University
A00074	A00075	Ames Res Lab	Ames Research Laboratory
A00074	A11110	Dep Phy Ast	Iowa State University, Department of Physics and Astronomy
	A00076	Amherst Coll	Amherst College, Massachusetts
A00076	A11027	FCRAO	Five College Radio Astronomy Observatory
A00076	A06602	FCAD	Five College Astronomy Department
	A00077	Hampshire Coll	Hampshire College, Massachusetts
A00077	A11027	FCRAO	Five College Radio Astronomy Observatory
A00077	A06602	FCAD	Five College Astronomy Department
	A00078	KNAW	Koninklijke Nederlandse Academie van Wetenschappen
	A00079	VU Amsterdam	Free University of Amsterdam, Netherlands
A00079	A00080	Dep Ear Sci	Free University of Amsterdam, Department of Earth Sciences
A00079	A11237	Dep Phy Ast	Free University of Amsterdam, Department of Physics and Astronomy
	A00081	U Amsterdam	University of Amsterdam, Netherlands
A00081	A00082	Inst Phy	University of Amsterdam, Institute of Physics
A00081	A11238	API	University of Amsterdam, Anton Pannekoek Institute for Astronomy
	A00083	USFWS	U.S. Fish and Wildlife Service
	A00084	U MI	University of Michigan
A00084	A00085	Dearborn	University of Michigan, Dearborn
A00084	A00086	Flint	University of Michigan, Flint
A00084	A00087	Dep Phy	University of Michigan, Department of Physics
A00084	A11079	Dep Ast	University of Michigan, Department of Astronomy
A00084	A11080	Rad Ast Obs	University of Michigan, Radio Astronomy Observatory
A00084	A11081	SPRL	University of Michigan, Space Physics Research Laboratory
A00084	A11082	AOSS	University of Michigan, Department of Atmospheric Oceanic and Space Sciences
A00084	A11083	Dep Geo Sci	University of Michigan, Department of Geological Sciences
	A00088	US EPA	U.S. Environmental Protection Agency
A00088	A00089	Res Tri Park	U.S. Environmental Protection Agency, Research Triangle Park, North Carolina
	A00090	Bard Coll	Bard College, New York
	A00091	St Johns Coll MD	Saint Johns College, Annapolis, Maryland
	A00092	St Francis Xavier U	Saint Francis Xavier University, Nova Scotia
	A00093	Lawrence U	Lawrence University, Wisconsin
	A00094	CalState	California State University System
A00094	A00095	Sacramento	California State University, Sacramento
A00094	A00096	Humboldt	Humboldt State University, California
A00094	A00097	Bakersfield	California State University, Bakersfield
A00094	A00098	Chico	California State University, Chico
A00094	A00099	Fresno	California State University, Fresno
A00094	A00100	Fullerton	California State University, Fullerton
A00094	A00101	Hayward	California State University, Hayward
A00094	A00102	Long Beach	California State University, Long Beach
A00094	A00103	Los Angeles	California State University, Los Angeles
A00094	A00104	Monterey Bay	California State University, Monterey Bay
A00094	A00105	Northridge	California State University, Northridge
A00094	A00106	San Bernardino	California State University, San Bernardino
A00094	A00107	San Marcos	California State University, San Marcos
A00094	A00108	Turlock	California State University, Turlock
A00094	A00109	Dominguez Hills	California State University, Dominguez Hills
A00094	A00110	Cal Poly Pomona	California State Polytechnic University, Pomona
A00094	A00111	Sonoma	Sonoma State University, California
A00094	A00112	SDSU	San Diego State University, California
A00094	A00113	SFSU	San Francisco State University, California
A00094	A00114	San Jose	San Jose State University, California
A00094	A00115	Santa Clara U	Santa Clara University, California
A00094	A00116	Cal Poly SLO	California State Polytechnic University, San Luis Obisp, California
	A00117	Marymount U	Marymount University, Virginia
	A00118	ANL	Argonne National Laboratory, Illinois
A00118	A11125	Phy Div	Argonne National Laboratory, Physics Division
A00118	A11126	HEPD	Argonne National Laboratory, High Energy Physics Division
	A00119	Raytheon	Raytheon Corporation
A00119	A06139	Pratt Whit	Raytheon Corporation, Pratt and Whitney
A00119	A11220	CA	Raytheon Corporation, California
A00119	A11221	MD	Raytheon Corporation, Maryland
A00119	A11222	AZ	Raytheon Corporation, Arizona
A00119	A11223	Hughes Air	Hughes Aircraft
	A00120	U New Eng Armidale	University of New England Armidale, Australia
	A00121	Benedictine Coll	Benedictine College, Kansas
	A00122	Athabasca U	Athabasca University, Canada
	A00123	Ohio U	Ohio University
A00123	A11428	Dep Phy Ast	Ohio University, Department of Physics and Astronomy
	A00124	U GA	University of Georgia
A00124	A00125	Savannah Riv Ec Lab	University of Georgia, Savannah River Ecology Laboratory
A00124	A05189	UGA SkIO	University of Georgia, Skidaway Institute of Oceanography
A00124	A11068	Dep Phy Ast	University of Georgia, Department of Physics and Astronomy
	A00126	Clark Atlanta U	Clark Atlanta University, Georgia
	A00127	Emory U	Emory University, Georgia
	A00128	GIT	Georgia Institute of Technology
A00128	A11063	Ctr Rel Astrop	Georgia Institute of Technology, Center for Relativistic Astrophysics
A00128	A11064	Ear Atm Sci	Georgia Institute of Technology, Earth and Atmospheric Sciences
A00128	A11065	Dep Phy	Georgia Institute of Technology, Department of Physics
	A00129	GSU	Georgia State University
A00129	A11066	Dep Phy Ast	Georgia State University, Department of Physics and Astronomy
	A00130	Spelman Coll	Spelman College, Georgia
	A00131	Auburn U	Auburn University, Alabama
A00131	A11100	Dep Phy	Auburn University, Department of Physics
	A00132	Auckland U Tech	Auckland University of Technology, New Zealand
	A00133	U Auckland	University of Auckland, New Zealand
A00133	A11652	Dep Phy	University of Auckland, Department of Physics
	A00134	UCB	University of California, Berkeley
A00134	A00135	Dep Ear Plan Sci	University of California, Berkeley, Department of Earth and Planetary Science
A00134	A00136	Dep Chem	University of California, Berkeley, Department of Chemistry
A00134	A00137	Dep Phy	University of California, Berkeley, Department of Physics
A00134	A11188	Dep Ast	University of California, Berkeley, Department of Astronomy
A00134	A11189	SSL	University of California, Berkeley, Space Sciences Laboratory
A00134	A11190	Dep Geo Geop	University of California, Berkeley, Department of Geology and Geophysics
A00134	A11211	Chem Div	Lawrence Berkeley National Laboratory, Materials and Chemical Sciences Division
A00134	A11218	Phy Div	Lawrence Berkeley National Laboratory, Physics Division
	A00138	U Cal	University of California System
A00138	A13093	IIRPA	University of California, Intercampus Institute for Research at Particle Accelerators
	A00139	Babson Coll	Babson College, Massachusetts
	A00140	JHU	Johns Hopkins University, Maryland
A00140	A00141	Dep Ear Plan Sci	Johns Hopkins University, Department of Earth and Planetary Sciences
A00140	A00142	Dep Phy Ast	Johns Hopkins University, Department of Physics and Astronomy
A00140	A00143	APL	Johns Hopkins University, Applied Physics Laboratory
	A00144	CIW	Carnegie Institution of Washington
A00144	A00145	Las Campanas Obs	Las Campanas Observatory, Chile
A00144	A00146	OCIW	Carnegie Institution of Washington, Observatories, California
A00144	A00147	Geop Lab	Carnegie Institution of Washington, Geophysical Laboratory
A00144	A00148	Glob Ecol	Carnegie Institution of Washington, Department of Global Ecology
A00144	A00149	Dep Terr Magn	Carnegie Institution of Washington, Department of Terrestrial Magnetism
	A00150	Goucher Coll	Goucher College, Maryland
	A00151	Morgan St U	Morgan State University, Maryland
A00151	A13050	GESTAR	Goddard Earth Sciences Technology and Research
	A00152	Towson U	Towson University, Maryland
	A00153	U Coll Bangor	University College of Bangor, UK
A00153	A01299	Ctr Ecol Hydro	Center for Ecology and Hydrology
	A00155	F Hoffmann Roche	F Hoffmann-La Roche Ltd, Switzerland
	A00156	U Bath	University of Bath, UK
	A00157	InterAmer U	Inter American University of Puerto Rico
	A00158	Mitre	Mitre Corporation
	A00159	AT&T	AT&T Inc.
A00159	A02416	Bell Labs	Lucent Technologies, AT&T Bell Labs
	A00161	Queens U Belfast	Queens University Belfast, Ireland
A00161	A00162	Sch Math Phy	Queens University Belfast, School of Mathematics and Physics
	A00163	W WA U	Western Washington University
	A00164	MN St U	Minnesota State University System
A00164	A00165	Metropolitan	Metropolitan State University, Minnesota
A00164	A00166	Bemidji	Minnesota State University, Bemidji
A00164	A00167	Mankato	Minnesota State University, Mankato
A00164	A00168	Winona	Minnesota State University, Winona
A00164	A00169	St Cloud	Minnesota State University, Saint Cloud
A00164	A00170	Moorhead	Minnesota State University, Moorhead
	A00171	Bennington Coll	Bennington College, Vermont
	A00172	Curtin U	Curtin University, Australia
A00172	A00173	Tech	Curtin University of Technology
A00172	A00174	Tech Malaysia	Curtin University of Technology, Malaysia
A00172	A06494	ASTRO 3D	Centre of Excellence for All Sky Astrophysics in 3D
A00172	A11642	CEAMS	Centre of Excellence in Antimatter-Matter Studies
A00172	A11661	CAASTRO	Centre of Excellence for All Sky Astrophysics
A00172	A11676	ICRAR	International Center for Radio Astronomy Research
A00172	A11677	Dep Phy	Curtin University, Department of Physics
	A00175	Berea Coll	Berea College, Kentucky
	A00176	U Bergen	University of Bergen, Norway
A00176	A11305	Dep Phy	University of Bergen, Department of Physics
	A00177	LBNL	Lawrence Berkeley National Laboratory, California
A00177	A06061	ALS	Lawrence Berkeley National Laboratory, Advanced Light Source Division
